,player_name,player_api_id,player_nation,season,team_long_name,team_api_id,season_player_age,market_val_amnt,player_pos,match_api_id,country,elapsed,subtype,team,id,goal_type,elapsed_plus,birthday,height,weight
5211,Valeri Bojinov,24499,Bulgaria,2009,Parma,10167,23,150000,CF,704519,Italy,5,,Parma,801193,n,,1986-02-15,180,159
5212,Valeri Bojinov,24499,Bulgaria,2009,Parma,10167,23,150000,CF,704790,Italy,55,shot,Parma,948910,n,,1986-02-15,180,159
5213,Valeri Bojinov,24499,Bulgaria,2009,Parma,10167,23,150000,CF,705410,Italy,68,,Parma,1026501,n,,1986-02-15,180,159
5214,Valeri Bojinov,24499,Bulgaria,2009,Parma,10167,23,150000,CF,705394,Italy,90,,Parma,1011725,n,,1986-02-15,180,159
5215,Valeri Bojinov,24499,Bulgaria,2009,Parma,10167,23,150000,CF,704539,Italy,58,,Parma,818138,n,,1986-02-15,180,159
5216,Valeri Bojinov,24499,Bulgaria,2009,Parma,10167,23,150000,CF,704562,Italy,52,shot,Parma,846051,n,,1986-02-15,180,159
5217,Valeri Bojinov,24499,Bulgaria,2009,Parma,10167,23,150000,CF,704454,Italy,21,,Parma,770781,n,,1986-02-15,180,159
5218,Valeri Bojinov,24499,Bulgaria,2009,Parma,10167,23,150000,CF,705315,Italy,72,header,Parma,995743,n,,1986-02-15,180,159
3141,Lorenzo De Silvestri,25587,Italy,2009,Fiorentina,8535,21,1500000,RB,705410,Italy,22,,Fiorentina,1025720,n,,1988-05-23,185,185
2207,Goran Pandev,25597,North Macedonia,2009,Inter,8636,26,500000,SS,704726,Italy,69,shot,Inter,912813,n,,1983-07-27,182,165
2208,Goran Pandev,25597,North Macedonia,2009,Inter,8636,26,500000,SS,704829,Italy,6,shot,Inter,943926,n,,1983-07-27,182,165
2209,Goran Pandev,25597,North Macedonia,2009,Inter,8636,26,500000,SS,704763,Italy,65,direct_freekick,Inter,926158,n,,1983-07-27,182,165
1740,Ezequiel Luna,25753,Argentina,2009,CD Tenerife,9867,23,250000,CB,684836,Spain,85,,CD Tenerife,904827,o,,1986-11-19,177,163
5084,Thomas Vermaelen,26005,Belgium,2009,Arsenal,9825,24,900000,CB,658624,England,25,header,Arsenal,762894,n,,1985-11-14,182,176
5085,Thomas Vermaelen,26005,Belgium,2009,Arsenal,9825,24,900000,CB,658624,England,49,distance,Arsenal,763263,n,,1985-11-14,182,176
5086,Thomas Vermaelen,26005,Belgium,2009,Arsenal,9825,24,900000,CB,658807,England,45,,Arsenal,859780,o,,1985-11-14,182,176
5087,Thomas Vermaelen,26005,Belgium,2009,Arsenal,9825,24,900000,CB,658688,England,17,distance,Arsenal,787232,n,,1985-11-14,182,176
5088,Thomas Vermaelen,26005,Belgium,2009,Arsenal,9825,24,900000,CB,658576,England,37,header,Arsenal,724900,n,,1985-11-14,182,176
5089,Thomas Vermaelen,26005,Belgium,2009,Arsenal,9825,24,900000,CB,659090,England,90,shot,Arsenal,974131,n,4.0,1985-11-14,182,176
5090,Thomas Vermaelen,26005,Belgium,2009,Arsenal,9825,24,900000,CB,658583,England,65,shot,Arsenal,919397,n,,1985-11-14,182,176
5091,Thomas Vermaelen,26005,Belgium,2009,Arsenal,9825,24,900000,CB,658974,England,80,deflected,Arsenal,936492,n,,1985-11-14,182,176
2940,Karim Benzema,26166,France,2009,Real Madrid CF,8633,22,25000000,CF,684776,Spain,83,loose_ball,Real Madrid CF,867809,n,,1987-12-19,187,174
2941,Karim Benzema,26166,France,2009,Real Madrid CF,8633,22,25000000,CF,684885,Spain,40,shot,Real Madrid CF,934307,n,,1987-12-19,187,174
2942,Karim Benzema,26166,France,2009,Real Madrid CF,8633,22,25000000,CF,684885,Spain,90,shot,Real Madrid CF,934412,n,1.0,1987-12-19,187,174
2943,Karim Benzema,26166,France,2009,Real Madrid CF,8633,22,25000000,CF,685197,Spain,81,shot,Real Madrid CF,1079399,n,,1987-12-19,187,174
2944,Karim Benzema,26166,France,2009,Real Madrid CF,8633,22,25000000,CF,684755,Spain,56,shot,Real Madrid CF,845926,dg,,1987-12-19,187,174
2945,Karim Benzema,26166,France,2009,Real Madrid CF,8633,22,25000000,CF,684804,Spain,71,shot,Real Madrid CF,889827,n,,1987-12-19,187,174
2946,Karim Benzema,26166,France,2009,Real Madrid CF,8633,22,25000000,CF,684609,Spain,82,shot,Real Madrid CF,768257,n,,1987-12-19,187,174
2947,Karim Benzema,26166,France,2009,Real Madrid CF,8633,22,25000000,CF,684648,Spain,47,header,Real Madrid CF,775189,n,,1987-12-19,187,174
2948,Karim Benzema,26166,France,2009,Real Madrid CF,8633,22,25000000,CF,684648,Spain,58,shot,Real Madrid CF,775289,n,,1987-12-19,187,174
1631,Eljero Elia,26675,Netherlands,2009,Hamburger SV,9790,22,400000,LW,674283,Germany,7,shot,Hamburger SV,734964,n,,1987-02-13,175,170
1632,Eljero Elia,26675,Netherlands,2009,Hamburger SV,9790,22,400000,LW,674370,Germany,44,header,Hamburger SV,835708,n,,1987-02-13,175,170
1633,Eljero Elia,26675,Netherlands,2009,Hamburger SV,9790,22,400000,LW,674408,Germany,47,,Hamburger SV,876933,n,,1987-02-13,175,170
1634,Eljero Elia,26675,Netherlands,2009,Hamburger SV,9790,22,400000,LW,674408,Germany,74,,Hamburger SV,877171,n,,1987-02-13,175,170
1635,Eljero Elia,26675,Netherlands,2009,Hamburger SV,9790,22,400000,LW,674299,Germany,58,distance,Hamburger SV,753813,n,,1987-02-13,175,170
2976,Kevin-Prince Boateng,27335,Ghana,2009,Portsmouth,8462,22,2000000,AM,658791,England,9,saved,Portsmouth,847942,npm,,1987-03-06,185,190
2977,Kevin-Prince Boateng,27335,Ghana,2009,Portsmouth,8462,22,2000000,AM,658697,England,59,volley,Portsmouth,798939,n,,1987-03-06,185,190
2978,Kevin-Prince Boateng,27335,Ghana,2009,Portsmouth,8462,22,2000000,AM,658620,England,63,loose_ball,Portsmouth,752563,n,,1987-03-06,185,190
2979,Kevin-Prince Boateng,27335,Ghana,2009,Portsmouth,8462,22,2000000,AM,658799,England,32,,Portsmouth,854814,p,,1987-03-06,185,190
4875,Stefan Maierhofer,27372,Austria,2009,Wolverhampton Wanderers,8602,27,50000,CF,658617,England,88,shot,Wolverhampton Wanderers,753002,n,,1982-08-16,203,216
3164,Luca Cigarini,27671,Italy,2009,Napoli,9875,23,600000,DM,704765,Italy,90,,Napoli,924427,n,,1986-06-20,175,159
3165,Luca Cigarini,27671,Italy,2009,Napoli,9875,23,600000,DM,704538,Italy,90,volley,Napoli,818523,n,1.0,1986-06-20,175,159
1183,Daniele Dessena,27672,Italy,2009,Cagliari,8529,22,450000,CM,704511,Italy,43,,Cagliari,801546,n,,1987-05-10,182,165
1184,Daniele Dessena,27672,Italy,2009,Cagliari,8529,22,450000,CM,705320,Italy,16,,Cagliari,994997,n,,1987-05-10,182,165
1185,Daniele Dessena,27672,Italy,2009,Cagliari,8529,22,450000,CM,704481,Italy,58,,Cagliari,777036,n,,1987-05-10,182,165
4896,Stefano Okaka Chuka,27696,Italy,2009,Fulham,9879,20,2900000,CF,659367,England,79,shot,Fulham,1071558,n,,1989-08-09,185,198
4897,Stefano Okaka Chuka,27696,Italy,2009,Fulham,9879,20,2900000,CF,659143,England,47,shot,Fulham,1029514,n,,1989-08-09,185,198
4898,Stefano Okaka Chuka,27696,Italy,2009,Fulham,9879,20,2900000,CF,704802,Italy,88,shot,Roma,935611,n,,1989-08-09,185,198
3692,Michael Mancienne,29673,England,2009,Wolverhampton Wanderers,8602,21,400000,CB,658672,England,90,,Wolverhampton Wanderers,778368,o,1.0,1988-01-08,182,163
1109,Cristiano Ronaldo,30893,Portugal,2009,Real Madrid CF,8633,24,45000000,CF,684945,Spain,18,direct_freekick,Real Madrid CF,965721,n,,1985-02-05,185,176
1110,Cristiano Ronaldo,30893,Portugal,2009,Real Madrid CF,8633,24,45000000,CF,684776,Spain,82,saved_back_into_play,Real Madrid CF,867808,npm,,1985-02-05,185,176
1111,Cristiano Ronaldo,30893,Portugal,2009,Real Madrid CF,8633,24,45000000,CF,684776,Spain,84,shot,Real Madrid CF,867812,n,,1985-02-05,185,176
1112,Cristiano Ronaldo,30893,Portugal,2009,Real Madrid CF,8633,24,45000000,CF,684881,Spain,36,shot,Real Madrid CF,925936,n,,1985-02-05,185,176
1113,Cristiano Ronaldo,30893,Portugal,2009,Real Madrid CF,8633,24,45000000,CF,684881,Spain,39,distance,Real Madrid CF,925952,n,,1985-02-05,185,176
1114,Cristiano Ronaldo,30893,Portugal,2009,Real Madrid CF,8633,24,45000000,CF,685164,Spain,24,shot,Real Madrid CF,1072192,n,,1985-02-05,185,176
1115,Cristiano Ronaldo,30893,Portugal,2009,Real Madrid CF,8633,24,45000000,CF,685164,Spain,89,header,Real Madrid CF,1072526,n,,1985-02-05,185,176
1116,Cristiano Ronaldo,30893,Portugal,2009,Real Madrid CF,8633,24,45000000,CF,684999,Spain,60,shot,Real Madrid CF,982830,n,,1985-02-05,185,176
1117,Cristiano Ronaldo,30893,Portugal,2009,Real Madrid CF,8633,24,45000000,CF,685089,Spain,23,,Real Madrid CF,1030586,p,,1985-02-05,185,176
1118,Cristiano Ronaldo,30893,Portugal,2009,Real Madrid CF,8633,24,45000000,CF,684596,Spain,90,shot,Real Madrid CF,754517,n,1.0,1985-02-05,185,176
1119,Cristiano Ronaldo,30893,Portugal,2009,Real Madrid CF,8633,24,45000000,CF,684625,Spain,1,distance,Real Madrid CF,770500,n,,1985-02-05,185,176
1120,Cristiano Ronaldo,30893,Portugal,2009,Real Madrid CF,8633,24,45000000,CF,685055,Spain,13,direct_freekick,Real Madrid CF,1012535,n,,1985-02-05,185,176
1121,Cristiano Ronaldo,30893,Portugal,2009,Real Madrid CF,8633,24,45000000,CF,685055,Spain,37,shot,Real Madrid CF,1012702,n,,1985-02-05,185,176
1122,Cristiano Ronaldo,30893,Portugal,2009,Real Madrid CF,8633,24,45000000,CF,685179,Spain,26,shot,Real Madrid CF,1075782,n,,1985-02-05,185,176
1123,Cristiano Ronaldo,30893,Portugal,2009,Real Madrid CF,8633,24,45000000,CF,685179,Spain,57,shot,Real Madrid CF,1075990,n,,1985-02-05,185,176
1124,Cristiano Ronaldo,30893,Portugal,2009,Real Madrid CF,8633,24,45000000,CF,685179,Spain,72,shot,Real Madrid CF,1076033,n,,1985-02-05,185,176
1125,Cristiano Ronaldo,30893,Portugal,2009,Real Madrid CF,8633,24,45000000,CF,685119,Spain,27,shot,Real Madrid CF,1045738,n,,1985-02-05,185,176
1126,Cristiano Ronaldo,30893,Portugal,2009,Real Madrid CF,8633,24,45000000,CF,685014,Spain,28,direct_freekick,Real Madrid CF,997801,n,,1985-02-05,185,176
1127,Cristiano Ronaldo,30893,Portugal,2009,Real Madrid CF,8633,24,45000000,CF,684976,Spain,80,,Real Madrid CF,974382,p,,1985-02-05,185,176
1128,Cristiano Ronaldo,30893,Portugal,2009,Real Madrid CF,8633,24,45000000,CF,684924,Spain,69,header,Real Madrid CF,952856,n,,1985-02-05,185,176
1129,Cristiano Ronaldo,30893,Portugal,2009,Real Madrid CF,8633,24,45000000,CF,684924,Spain,71,shot,Real Madrid CF,952860,n,,1985-02-05,185,176
1130,Cristiano Ronaldo,30893,Portugal,2009,Real Madrid CF,8633,24,45000000,CF,685197,Spain,22,,Real Madrid CF,1078687,p,,1985-02-05,185,176
1131,Cristiano Ronaldo,30893,Portugal,2009,Real Madrid CF,8633,24,45000000,CF,684585,Spain,35,,Real Madrid CF,741935,p,,1985-02-05,185,176
1132,Cristiano Ronaldo,30893,Portugal,2009,Real Madrid CF,8633,24,45000000,CF,684804,Spain,50,shot,Real Madrid CF,889782,n,,1985-02-05,185,176
1133,Cristiano Ronaldo,30893,Portugal,2009,Real Madrid CF,8633,24,45000000,CF,684609,Spain,1,shot,Real Madrid CF,767904,n,,1985-02-05,185,176
1134,Cristiano Ronaldo,30893,Portugal,2009,Real Madrid CF,8633,24,45000000,CF,684609,Spain,75,header,Real Madrid CF,768234,n,,1985-02-05,185,176
1135,Cristiano Ronaldo,30893,Portugal,2009,Real Madrid CF,8633,24,45000000,CF,685140,Spain,78,shot,Real Madrid CF,1054054,n,,1985-02-05,185,176
726,Blerim Dzemaili,30940,Switzerland,2009,Parma,10167,23,300000,CM,704697,Italy,68,distance,Parma,903511,n,,1986-04-12,177,161
4439,Rodrigo Palacio,30991,Argentina,2009,Genoa,10233,27,400000,CF,705303,Italy,8,distance,Genoa,1060908,n,,1982-02-05,175,154
4440,Rodrigo Palacio,30991,Argentina,2009,Genoa,10233,27,400000,CF,705229,Italy,64,header,Genoa,962056,n,,1982-02-05,175,154
4441,Rodrigo Palacio,30991,Argentina,2009,Genoa,10233,27,400000,CF,705344,Italy,33,distance,Genoa,1051009,n,,1982-02-05,175,154
4442,Rodrigo Palacio,30991,Argentina,2009,Genoa,10233,27,400000,CF,705344,Italy,52,shot,Genoa,1051399,n,,1982-02-05,175,154
4443,Rodrigo Palacio,30991,Argentina,2009,Genoa,10233,27,400000,CF,705320,Italy,39,,Genoa,995244,n,,1982-02-05,175,154
4444,Rodrigo Palacio,30991,Argentina,2009,Genoa,10233,27,400000,CF,704594,Italy,14,shot,Genoa,868396,n,,1982-02-05,175,154
4445,Rodrigo Palacio,30991,Argentina,2009,Genoa,10233,27,400000,CF,704749,Italy,17,,Genoa,923906,n,,1982-02-05,175,154
1314,Diego,31235,Brazil,2009,Juventus,9885,24,1300000,CM,704551,Italy,84,,Juventus,834501,n,,1985-02-28,172,161
1315,Diego,31235,Brazil,2009,Juventus,9885,24,1300000,CM,705280,Italy,2,shot,Juventus,981088,n,,1985-02-28,172,161
1316,Diego,31235,Brazil,2009,Juventus,9885,24,1300000,CM,704388,Italy,25,shot,Juventus,744025,n,,1985-02-28,172,161
1317,Diego,31235,Brazil,2009,Juventus,9885,24,1300000,CM,704388,Italy,68,shot,Juventus,744443,n,,1985-02-28,172,161
1318,Diego,31235,Brazil,2009,Juventus,9885,24,1300000,CM,705128,Italy,5,loose_ball,Juventus,963217,n,,1985-02-28,172,161
3323,Maicosuel,31614,Brazil,2009,TSG 1899 Hoffenheim,8226,23,400000,LW,674316,Germany,86,,TSG 1899 Hoffenheim,763343,n,,1986-06-16,177,154
3324,Maicosuel,31614,Brazil,2009,TSG 1899 Hoffenheim,8226,23,400000,LW,674417,Germany,44,,TSG 1899 Hoffenheim,888997,n,,1986-06-16,177,154
3325,Maicosuel,31614,Brazil,2009,TSG 1899 Hoffenheim,8226,23,400000,LW,674361,Germany,39,shot,TSG 1899 Hoffenheim,824418,n,,1986-06-16,177,154
3270,Lukas Podolski,32118,Germany,2009,1. FC Köln,8722,24,400000,AM,674304,Germany,6,shot,1. FC Köln,756216,n,,1985-06-04,182,183
3271,Lukas Podolski,32118,Germany,2009,1. FC Köln,8722,24,400000,AM,674494,Germany,31,direct_freekick,1. FC Köln,980032,n,,1985-06-04,182,183
4949,Steven Fletcher,32627,Scotland,2009,Burnley,8191,22,900000,CF,658699,England,4,shot,Burnley,809659,n,,1987-03-26,185,168
4950,Steven Fletcher,32627,Scotland,2009,Burnley,8191,22,900000,CF,658973,England,50,shot,Burnley,933807,n,,1987-03-26,185,168
4951,Steven Fletcher,32627,Scotland,2009,Burnley,8191,22,900000,CF,659145,England,71,shot,Burnley,1028457,n,,1987-03-26,185,168
4952,Steven Fletcher,32627,Scotland,2009,Burnley,8191,22,900000,CF,658834,England,70,shot,Burnley,884792,dg,,1987-03-26,185,168
4953,Steven Fletcher,32627,Scotland,2009,Burnley,8191,22,900000,CF,658684,England,53,shot,Burnley,785229,n,,1987-03-26,185,168
4954,Steven Fletcher,32627,Scotland,2009,Burnley,8191,22,900000,CF,658800,England,68,shot,Burnley,855520,n,,1987-03-26,185,168
4955,Steven Fletcher,32627,Scotland,2009,Burnley,8191,22,900000,CF,658800,England,74,shot,Burnley,855626,n,,1987-03-26,185,168
4956,Steven Fletcher,32627,Scotland,2009,Burnley,8191,22,900000,CF,659087,England,10,shot,Burnley,963243,n,,1987-03-26,185,168
4957,Steven Fletcher,32627,Scotland,2009,Burnley,8191,22,900000,CF,658670,England,26,shot,Burnley,773535,dg,,1987-03-26,185,168
4958,Steven Fletcher,32627,Scotland,2009,Burnley,8191,22,900000,CF,658724,England,32,shot,Burnley,832633,n,,1987-03-26,185,168
5193,Valdo,33872,Cape Verde,2009,Málaga CF,9864,28,50000,RW,684989,Spain,81,shot,Málaga CF,974682,n,,1981-04-23,182,172
5194,Valdo,33872,Cape Verde,2009,Málaga CF,9864,28,50000,RW,684990,Spain,55,,Málaga CF,984961,n,,1981-04-23,182,172
1859,Felipe Melo,33888,Brazil,2009,Juventus,9885,26,600000,DM,704551,Italy,55,,Juventus,834419,n,,1983-08-26,182,176
1860,Felipe Melo,33888,Brazil,2009,Juventus,9885,26,600000,DM,704388,Italy,90,distance,Juventus,744581,n,3.0,1983-08-26,182,176
1861,Felipe Melo,33888,Brazil,2009,Juventus,9885,26,600000,DM,705128,Italy,71,shot,Juventus,963915,dg,,1983-08-26,182,176
1862,Felipe Melo,33888,Brazil,2009,Juventus,9885,26,600000,DM,705437,Italy,82,header,Juventus,1018859,n,,1983-08-26,182,176
1863,Felipe Melo,33888,Brazil,2009,Fiorentina,8535,26,75000,CB,704551,Italy,55,,Juventus,834419,n,,1983-08-26,182,176
1864,Felipe Melo,33888,Brazil,2009,Fiorentina,8535,26,75000,CB,704388,Italy,90,distance,Juventus,744581,n,3.0,1983-08-26,182,176
1865,Felipe Melo,33888,Brazil,2009,Fiorentina,8535,26,75000,CB,705128,Italy,71,shot,Juventus,963915,dg,,1983-08-26,182,176
1866,Felipe Melo,33888,Brazil,2009,Fiorentina,8535,26,75000,CB,705437,Italy,82,header,Juventus,1018859,n,,1983-08-26,182,176
5459,Zlatan Ibrahimovic,35724,Sweden,2009,FC Barcelona,8634,28,4000000,CF,684592,Spain,82,header,FC Barcelona,745893,n,,1981-10-03,195,209
5460,Zlatan Ibrahimovic,35724,Sweden,2009,FC Barcelona,8634,28,4000000,CF,684785,Spain,39,,FC Barcelona,879430,p,,1981-10-03,195,209
5461,Zlatan Ibrahimovic,35724,Sweden,2009,FC Barcelona,8634,28,4000000,CF,684620,Spain,2,shot,FC Barcelona,765133,n,,1981-10-03,195,209
5462,Zlatan Ibrahimovic,35724,Sweden,2009,FC Barcelona,8634,28,4000000,CF,684989,Spain,89,shot,FC Barcelona,974701,dg,,1981-10-03,195,209
5463,Zlatan Ibrahimovic,35724,Sweden,2009,FC Barcelona,8634,28,4000000,CF,685060,Spain,73,shot,FC Barcelona,1010735,n,,1981-10-03,195,209
5464,Zlatan Ibrahimovic,35724,Sweden,2009,FC Barcelona,8634,28,4000000,CF,684775,Spain,88,shot,FC Barcelona,868202,n,,1981-10-03,195,209
5465,Zlatan Ibrahimovic,35724,Sweden,2009,FC Barcelona,8634,28,4000000,CF,684635,Spain,20,header,FC Barcelona,769639,n,,1981-10-03,195,209
5466,Zlatan Ibrahimovic,35724,Sweden,2009,FC Barcelona,8634,28,4000000,CF,684936,Spain,27,shot,FC Barcelona,955833,n,,1981-10-03,195,209
5467,Zlatan Ibrahimovic,35724,Sweden,2009,FC Barcelona,8634,28,4000000,CF,684605,Spain,65,shot,FC Barcelona,753690,n,,1981-10-03,195,209
5468,Zlatan Ibrahimovic,35724,Sweden,2009,FC Barcelona,8634,28,4000000,CF,685075,Spain,63,shot,FC Barcelona,1017067,n,,1981-10-03,195,209
5469,Zlatan Ibrahimovic,35724,Sweden,2009,FC Barcelona,8634,28,4000000,CF,684656,Spain,39,shot,FC Barcelona,775844,n,,1981-10-03,195,209
5470,Zlatan Ibrahimovic,35724,Sweden,2009,FC Barcelona,8634,28,4000000,CF,685042,Spain,90,,FC Barcelona,1008563,p,1.0,1981-10-03,195,209
